group,groupcode,species,scientific,raritycode,pelagic,shorebird,passerine
Ducks/Geese,1,Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,0,0,0
Ducks/Geese,1,Fulvous Whistling-Duck,Dendrocygna bicolor,1,0,0,0
Ducks/Geese,1,Taiga Bean-Goose,Anser fabalis,3,0,0,0
Ducks/Geese,1,Tundra Bean-Goose,Anser serrirostris,3,0,0,0
Ducks/Geese,1,Pink-footed Goose,Anser brachyrhynchus,4,0,0,0
Ducks/Geese,1,Greater White-fronted Goose,Anser albifrons,1,0,0,0
Ducks/Geese,1,Lesser White-fronted Goose,Anser erythropus,5,0,0,0
Ducks/Geese,1,Graylag Goose,Anser anser,5,0,0,0
Ducks/Geese,1,Emperor Goose,Chen canagica,2,0,0,0
Ducks/Geese,1,Snow Goose,Chen caerulescens,1,0,0,0
Ducks/Geese,1,Ross's Goose,Chen rossii,1,0,0,0
Ducks/Geese,1,Brant,Branta bernicla,1,0,0,0
Ducks/Geese,1,Barnacle Goose,Branta leucopsis,4,0,0,0
Ducks/Geese,1,Cackling Goose,Branta hutchinsii,1,0,0,0
Ducks/Geese,1,Canada Goose,Branta canadensis,1,0,0,0
Ducks/Geese,1,Mute Swan,Cygnus olor,1,0,0,0
Ducks/Geese,1,Trumpeter Swan,Cygnus buccinator,1,0,0,0
Ducks/Geese,1,Tundra Swan,Cygnus columbianus,1,0,0,0
Ducks/Geese,1,Whooper Swan,Cygnus cygnus,3,0,0,0
Ducks/Geese,1,Muscovy Duck,Cairina moschata,2,0,0,0
Ducks/Geese,1,Wood Duck,Aix sponsa,1,0,0,0
Ducks/Geese,1,Gadwall,Anas strepera,1,0,0,0
Ducks/Geese,1,Falcated Duck,Anas falcata,4,0,0,0
Ducks/Geese,1,Eurasian Wigeon,Anas penelope,2,0,0,0
Ducks/Geese,1,American Wigeon,Anas americana,1,0,0,0
Ducks/Geese,1,American Black Duck,Anas rubripes,1,0,0,0
Ducks/Geese,1,Mallard,Anas platyrhynchos,1,0,0,0
Ducks/Geese,1,Mottled Duck,Anas fulvigula,1,0,0,0
Ducks/Geese,1,Eastern Spot-billed Duck,Anas zonorhyncha,4,0,0,0
Ducks/Geese,1,Blue-winged Teal,Anas discors,1,0,0,0
Ducks/Geese,1,Cinnamon Teal,Anas cyanoptera,1,0,0,0
Ducks/Geese,1,Northern Shoveler,Anas clypeata,1,0,0,0
Ducks/Geese,1,White-cheeked Pintail,Anas bahamensis,4,0,0,0
Ducks/Geese,1,Northern Pintail,Anas acuta,1,0,0,0
Ducks/Geese,1,Garganey,Anas querquedula,4,0,0,0
Ducks/Geese,1,Baikal Teal,Anas formosa,4,0,0,0
Ducks/Geese,1,Green-winged Teal,Anas crecca,1,0,0,0
Ducks/Geese,1,Canvasback,Aythya valisineria,1,0,0,0
Ducks/Geese,1,Redhead,Aythya americana,1,0,0,0
Ducks/Geese,1,Common Pochard,Aythya ferina,3,0,0,0
Ducks/Geese,1,Ring-necked Duck,Aythya collaris,1,0,0,0
Ducks/Geese,1,Tufted Duck,Aythya fuligula,3,0,0,0
Ducks/Geese,1,Greater Scaup,Aythya marila,1,0,0,0
Ducks/Geese,1,Lesser Scaup,Aythya affinis,1,0,0,0
